epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.102,0.22207,2.35359,1.04497,0.86123,0.85168,0.93261,0.91618,0.28834,0.66008,0.4172,0.003329,0.003329,0.003329
2,407.347,0.13643,1.16238,0.96095,0.78538,0.76903,0.90426,0.8425,0.37227,1.18383,0.55976,0.00659638,0.00659638,0.00659638
3,604.263,0.14138,0.84024,0.96502,0.73243,0.8231,0.882,0.78729,0.50372,1.20319,0.75733,0.00979776,0.00979776,0.00979776
4,800.097,0.13153,0.59508,0.95768,0.83118,0.86904,0.93835,0.92224,0.27698,0.68533,0.4072,0.009703,0.009703,0.009703
5,995.862,0.11057,0.42709,0.9419,0.88078,0.9275,0.96605,0.84385,0.54247,0.70391,0.76554,0.009604,0.009604,0.009604
6,1182.06,0.09775,0.3504,0.92793,0.89548,0.9086,0.96129,0.85851,0.4631,0.78682,0.63423,0.009505,0.009505,0.009505
7,1361.96,0.08822,0.29339,0.92911,0.94739,0.96345,0.98841,0.93054,0.3464,0.56346,0.47616,0.009406,0.009406,0.009406
8,1549.47,0.08167,0.25832,0.91779,0.96538,0.97182,0.99281,0.97564,0.29502,0.65602,0.41859,0.009307,0.009307,0.009307
9,1734.27,0.07608,0.24472,0.91584,0.98292,0.98198,0.99404,0.93348,0.30743,0.60313,0.41929,0.009208,0.009208,0.009208
10,21086.1,0.07262,0.21078,0.91664,0.94335,0.97349,0.99155,0.96148,0.31632,0.67188,0.43887,0.009109,0.009109,0.009109
11,21223.5,0.07019,0.20126,0.91917,0.97382,0.98131,0.99399,0.95802,0.30725,0.63356,0.42497,0.00901,0.00901,0.00901
12,21368.5,0.06709,0.18998,0.91411,0.98207,0.97363,0.99317,0.95033,0.31509,0.72261,0.43302,0.008911,0.008911,0.008911
13,21602.5,0.06574,0.1772,0.9097,0.9703,0.98487,0.99462,0.96088,0.30503,0.76366,0.41413,0.008812,0.008812,0.008812
14,21866.1,0.06275,0.16277,0.91179,0.99347,0.99272,0.99496,0.97039,0.2759,0.73448,0.38765,0.008713,0.008713,0.008713
15,22135.4,0.06162,0.14948,0.91333,0.99269,0.98627,0.99464,0.95577,0.29914,0.79969,0.41343,0.008614,0.008614,0.008614
16,22365.9,0.05752,0.15756,0.9113,0.98482,0.98639,0.99425,0.97145,0.3057,0.67641,0.42296,0.008515,0.008515,0.008515
17,22529.6,0.05632,0.14428,0.91177,0.993,0.99448,0.99487,0.98583,0.29479,0.7511,0.4075,0.008416,0.008416,0.008416
18,22700,0.05535,0.13394,0.90773,0.98846,0.99228,0.99462,0.95463,0.27841,0.75379,0.38416,0.008317,0.008317,0.008317
19,22864.4,0.05327,0.13795,0.90874,0.99011,0.99096,0.99479,0.97641,0.28695,0.74728,0.40214,0.008218,0.008218,0.008218
