epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2098.78,0.68631,1.54568,1.14925,0.86239,0.5032,0.47465,0.38441,0.68601,3.03488,0.6794,0.0700519,0.00332757,0.00332757
2,18318,0.58934,1.24291,1.0863,0.7966,0.71844,0.81342,0.7196,0.52232,0.98926,0.52217,0.0400503,0.00665927,0.00665927
3,21082.1,0.5171,1.10825,1.05124,0.82128,0.72199,0.83661,0.71676,0.60339,1.16791,0.67211,0.0100421,0.00998447,0.00998447
4,23608.8,0.46279,1.01823,1.02113,0.56867,0.45336,0.48499,0.41434,0.59908,1.99805,0.64026,0.00997803,0.00997803,0.00997803
5,26050.1,0.42976,0.91433,1.00251,0.48367,0.67078,0.52929,0.39935,0.6365,1.58301,0.61958,0.00996097,0.00996097,0.00996097
6,28482.4,0.39311,0.84673,0.98496,0.88773,0.88012,0.94272,0.83905,0.54518,0.7397,0.59259,0.00993906,0.00993906,0.00993906
7,30937.1,0.35958,0.80462,0.97044,0.81877,0.92005,0.96825,0.88473,0.51606,0.6741,0.61412,0.00991232,0.00991232,0.00991232
8,33442.5,0.34693,0.73917,0.96597,0.92213,0.94028,0.97995,0.88649,0.5085,0.56497,0.586,0.00988079,0.00988079,0.00988079
9,35827,0.33207,0.70802,0.95977,0.90226,0.90856,0.97165,0.88666,0.55557,0.68944,0.59772,0.00984449,0.00984449,0.00984449
10,38184.9,0.31749,0.69782,0.95458,0.91765,0.92694,0.97432,0.8999,0.458,0.56578,0.5725,0.00980345,0.00980345,0.00980345
11,40607.3,0.31507,0.66758,0.95296,0.93043,0.93337,0.97582,0.85393,0.60471,0.62511,0.59216,0.00975773,0.00975773,0.00975773
12,43249.6,0.30064,0.63088,0.94581,0.87673,0.88939,0.94931,0.82695,0.60715,0.70249,0.60625,0.00970736,0.00970736,0.00970736
13,46096.8,0.30012,0.62519,0.94436,0.9415,0.93853,0.98003,0.85059,0.61828,0.64657,0.65694,0.00965239,0.00965239,0.00965239
14,49289.8,0.28346,0.59153,0.93666,0.94088,0.91108,0.97645,0.87828,0.46558,0.64412,0.51872,0.00959289,0.00959289,0.00959289
15,52412.8,0.2822,0.57648,0.93975,0.89995,0.90534,0.98684,0.89945,0.4883,0.58581,0.55469,0.00952889,0.00952889,0.00952889
